NO,NAMA UMKM,PEMILIK,ALAMAT,LATITUDE,LONGITUDE,KUANTITAS,PEMASARAN,KET
1,Batik Tulis Mantaka,Ali Makki,Desa Gapurana Kecamatan Talango,-7.08040,113.9916,210,Lokal Nasional dan Luar Negeri,Motif Tematik/ Pola Motif Klasik dan Motif Kontemporer
2,Batik Tulis Dermaga,Moh Ervan,Desa Pragaan Kecamatan Pragaan,-7.10000,113.6600,240,Lokal Nasional dan Luar Negeri,Motif Tematik/Pola Motif Klasik dan Motif Kontemporer
3,Batik Tulis Melati,Ach Zaini,Desa Pekandangan Barat Kecamatan Bluto,-7.10720,113.7516,300,Lokal Nasional dan Luar Negeri,Motif Tematik/ Pola dan Motif Klasik
4,Batik Tulis Al - Barokah,Tofan Febrianto,Desa Pekandangan Barat Kecamatan Bluto,-7.11000,113.7450,300,Lokal Nasional dan Luar Negeri,Motif Tematik/ Pola Motif Klasik dan Motif Kontemporer
5,Batik Tulis Al - Qomar,Nur Hasanah,Desa Pekandangan Tengah Kecamatan Bluto,-7.10500,113.7550,240,Lokal dan Nasional,Motif Tematik/Pola Motif Klasik dan Motif Kontemporer
6,Batik Tulis Canteng Koning,Didik Hariyanto,Desa Pangarangan Kecamatan Kota Sumenep,-6.98000,113.9000,300,Lokal Nasional dan Luar Negeri,Motif Tematik/Pola dan Motif Klasik
7,Batik Tulis Safira,Taufik,Desa Pekandangan Barat Kecamatan Bluto,-7.10800,113.7480,150,Lokal dan Nasional,Motif Tematik/Pola dan Motif Klasik
8,Batik Tulis Dharma,Darto,Desa Mandala Kecamatan Rubaru,-6.98700,113.7652,150,Lokal dan Nasional,Motif Tematik/Pola dan Motif Klasik
9,Batik Tulis Arah Naga Tresna,Turmidzi,Desa Aeng Panas Kecamatan Pragaan,-7.11500,113.6550,150,Lokal dan Nasional,Motif Klasik dan Motif Kontemporer
10,Batik Tulis Kombung,Ibnu Gazali,Desa Ellak Daya Kecamatan Lenteng,-7.06000,113.8800,150,Lokal dan Nasional,Motif Klasik dan Motif Kontemporer
11,Batik Tulis Rutan Sumenep,Rutan Sumenep,Desa Pabian Kecamatan Kota Sumenep,-6.99500,113.8950,300,Lokal dan Nasional,Motif Tematik/Pola dan Motif Klasik
12,Batik Tulis Dika,Siti Nur Hayati,Desa Bluto Kecamatan Bluto,-7.10000,113.7600,150,Lokal dan Nasional,Motif Tematik/Pola dan Motif Klasik
13,Batik Tulis Paregi,Badaruddin,Desa Batuan Kecamatan Batuan,-7.01025,113.8321,150,Lokal dan Nasional,Motif Tematik/Pola dan Motif Klasik
14,Batik Tulis Kekin Pesona Kharisma,H Sadik,Desa Pakandangan Barat Kecamatan Bluto (sebelah safira),-7.10900,113.7440,150,Lokal dan Nasional,Motif Tematik/Pola dan Motif Klasik
15,Batik Tulis Wawan,Wawan,Desa Paberasan Kecamatan Kota,-6.99700,113.8913,180,Lokal dan Nasional,Motif Tematik/ Pola
16,Batik Tulis Joni,Joni,Desa Lalangon Kecamatan Manding,-7.05000,113.8300,150,Lokal dan Nasional,Motif Tematik/ Pola
17,Batik Tulis Nusa Indah,Yuni,Desa Pakandangan Barat Kecamatan Bluto,-7.11100,113.7420,150,Lokal dan Nasional,Motif Tematik/ Pola
18,Batik Tulis Indah Galeri,Norrahman,Desa Prenduan Kecamatan Pragaan,-7.12000,113.6500,150,Lokal dan Nasional,Motif Tematik/ Pola
19,Batik Tulis Dharma Melati Putih,Mutahzam,Desa Mandala Kecamatan Rubaru,-6.98850,113.7660,240,Lokal dan Nasional,Motif Tematik/ Pola
20,Batik Tulis Cemara,Arif Kurniawan,Desa Paberasan Kecamatan Kota Sumenep,-6.99800,113.8900,150,Lokal dan Nasional,Motif Tematik/ Pola
21,Batik Tulis Sinar,Sri Hartini,Kelurahan Pajagalan Kecamatan Kota Sumenep,-6.99000,113.9000,150,Lokal dan Nasional,Motif Tematik/ Pola
22,Batik Tulis Labatik,Fauzi,Kelurahan Pajagalan Kecamatan Kota Sumenep,-6.98900,113.8990,180,Lokal dan Nasional,Motif Tematik/ Pola
23,Batik Tulis Dhamar Kambeng,Moh. Toha,Desa Matanair Kecamatan Rubaru,-6.98500,113.7700,150,Lokal dan Nasional,Motif Tematik/ Pola
24,Batik Tullis Pajjer,Tohari,Desa Ging-ging Kecamatan Bluto,-7.09500,113.7700,180,Lokal dan Nasional,Motif Tematik/ Pola
25,Batik Tulis Rato,Junaidi,Rumah Produksi WMS Kelurahan Pajagalan Kecamatan Kota,-6.99100,113.9010,180,Lokal dan Nasional,Motif Tematik/ Pola
26,Batik Tulis Serat Kedaton,Beta,Desa Batang-batang Daya Kecamatan Batang-batang,-7.07000,113.8300,150,Lokal dan Nasional,Motif Tematik/ Pola
,,,,,,,,
,,,,,,,,
,,,,,,,,

